                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 0.4514,                0.46107,                 1.0893,                0.99085,                 0.9861,                0.98548,                 0.9186,                0.38687,                 0.3051,                0.99862,             0.00077563,             0.00077563,             0.00077563
                    118,                0.43416,                0.42158,                  1.076,                0.98514,                0.97952,                0.98547,                0.92919,                0.37586,                0.28851,                0.99234,             0.00077563,             0.00077563,             0.00077563
                    119,                0.44476,                0.44616,                 1.0913,                0.98046,                 0.9861,                0.98577,                0.93243,                 0.3843,                0.30135,                0.99242,             0.00076738,             0.00076738,             0.00076738
                    120,                0.44289,                0.43616,                 1.0822,                0.98727,                0.98513,                0.98727,                0.92212,                0.38866,                 0.2823,                 1.0018,             0.00076325,             0.00076325,             0.00076325
                    121,                0.44273,                0.42785,                 1.0887,                 0.9876,                 0.9861,                0.98638,                0.92789,                 0.3827,                0.28814,                0.98926,             0.00075912,             0.00075912,             0.00075912
                    122,                0.45043,                0.42434,                 1.0848,                0.98433,                0.98556,                0.98715,                 0.9289,                0.37454,                0.28986,                0.99512,               0.000755,               0.000755,               0.000755
                    123,                0.43328,                0.40727,                 1.0882,                0.98098,                 0.9861,                0.98474,                0.92761,                0.36921,                0.28027,                0.98831,             0.00075088,             0.00075088,             0.00075088
                    124,                0.43221,                 0.4089,                 1.0738,                0.98648,                0.98376,                0.98558,                0.92438,                0.41028,                0.32693,                 1.0128,             0.00074675,             0.00074675,             0.00074675
                    125,                0.44011,                0.40899,                  1.077,                0.98222,                0.98939,                0.98747,                0.92308,                0.38352,                0.28503,                0.99331,             0.00074263,             0.00074263,             0.00074263
                    126,                0.44517,                0.42709,                 1.0836,                0.98582,                0.98603,                0.98741,                0.92715,                0.38984,                0.28289,                0.99261,              0.0007385,              0.0007385,              0.0007385
                    127,                0.43612,                 0.4308,                 1.0817,                0.98482,                0.98025,                0.98648,                 0.9276,                0.38103,                0.28576,                0.99588,             0.00073437,             0.00073437,             0.00073437
                    128,                 0.4472,                0.42033,                 1.0883,                0.99073,                0.97808,                0.98522,                0.91662,                0.39232,                0.30643,                  1.004,             0.00073025,             0.00073025,             0.00073025
                    129,                0.43506,                0.40305,                 1.0791,                0.98967,                0.98582,                0.98651,                0.93101,                0.37327,                0.28256,                0.98632,             0.00072612,             0.00072612,             0.00072612
